ZipCode,Latitude,Longitude,NumberofBuildings,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions
98104.0,47.60105,-122.33518,1.0,34416.0,7672.0,2470.0,78.0,1677002.25,28.27
98134.0,47.59544,-122.33159,1.0,1585960.0,0.0,95827.4,75.6,59757440.0,892.63
98134.0,47.57199,-122.32811,1.0,117476.0,37321.0,25543.0,42.2,9436408.0,96.43
98134.0,47.57199,-122.32811,1.0,40831.0,16735.0,11533.0,54.4,3928695.25,27.39
98134.0,47.59085,-122.33354,1.0,1172127.0,177086.6,95827.4,75.6,58761304.0,1246.55
98134.0,47.59269,-122.33372,1.0,135006.0,20600.0,9216.0,64.0,12726789.0,388.37
98134.0,47.57507,-122.35747,0.0,79600.0,12201.6,8069.8,34.0,2411402.25,16.81
98103.0,47.65996,-122.33962,1.0,241066.0,59920.0,9271.2,79.0,7791957.0,270.97
98108.0,47.52429,-122.31234,14.0,240984.0,72963.0,16766.0,81.2,53466684.0,748.55
98125.0,47.70281,-122.32532,1.0,335109.0,65000.0,13567.0,64.0,9134963.0,162.41
98119.0,47.6239,-122.35756,1.0,58563.0,48520.0,29839.0,57.8,10557910.0,92.91
98101.0,47.61275,-122.3333,1.0,495536.0,438756.0,49700.0,55.6,65047284.0,1638.46
98122.0,47.60705,-122.30966,6.0,601615.0,48607.0,66041.8,34.0,143423024.0,4906.33
98106.0,47.52518,-122.34828,1.0,71714.0,9606.4,5612.6,87.0,2371358.0,36.24
98103.0,47.65097,-122.34227,1.0,67236.0,8161.0,6660.6,91.0,549181.375,9.63
98104.0,47.60399,-122.32377,9.0,1350182.0,387651.0,154386.2,29.0,293090784.0,10734.57
98104.0,47.59626,-122.3218,1.0,55259.0,40091.0,3231.0,59.0,10105379.0,193.94
98116.0,47.57678,-122.38459,1.0,208981.0,26746.2,8773.0,80.0,8164853.0,207.79
98105.0,47.66568,-122.31368,1.0,55500.0,19244.6,4834.6,98.0,1377627.0,72.88
98105.0,47.66151,-122.31457,1.0,106860.0,28602.8,7662.6,49.0,11935719.0,469.57
98125.0,47.71895,-122.29475,1.0,47079.0,3680.0,7832.6,62.0,3147042.0,49.09
98105.0,47.66182,-122.31113,1.0,56772.0,15200.0,5679.8,46.0,2439484.75,84.57
98105.0,47.6626,-122.31164,1.0,103000.0,22176.8,6728.6,42.0,4854429.5,149.93
98115.0,47.67723,-122.31281,1.0,269297.0,28285.8,8937.860009799999,80.0,10498344.0,225.19
98115.0,47.67184,-122.29221,1.0,75174.0,22268.0,13703.8,77.0,2733846.0,71.86
98119.0,47.64052,-122.3656,1.0,75214.0,6949.2,5612.6,88.0,2334260.0,43.98
98116.0,47.57298,-122.39028,1.0,134918.0,15259.2,8575.6,91.0,3822102.5,69.42
98144.0,47.59096,-122.29985,1.0,65310.0,6518.6,5132.6,67.0,2295176.5,16.0
98115.0,47.67725,-122.32232,1.0,92437.0,30181.0,3701.4,78.0,4626443.0,201.05
98101.0,47.61103,-122.33238,1.0,109754.0,12876.0,6136.0,50.0,6057410.0,57.21
98101.0,47.6079,-122.33266,1.0,63934.0,27143.0,10568.0,76.0,5572503.0,254.87
98101.0,47.60699,-122.33481,1.0,203000.0,216829.6,94930.6,75.6,62197176.0,433.6
98108.0,47.55237,-122.31391,1.0,204961.0,26746.2,8773.0,94.0,8190809.0,226.06
98119.0,47.63965,-122.3783,1.0,77810.0,24694.2,7852.6,84.8,3267564.0,101.41
98119.0,47.61972,-122.36033,1.0,146741.0,9805.0,45500.8,1.0,28731502.0,661.04
98121.0,47.6124,-122.35075,1.0,122309.0,62644.6,35265.0,8.0,25453690.0,1060.13
98125.0,47.61137,-122.34947,4.0,217088.0,79246.6,13632.2,75.6,24017770.0,639.39
98121.0,47.61069,-122.34653,1.0,277000.0,168589.6,34510.6,29.0,26659244.0,780.84
98101.0,47.60729,-122.34211,1.0,69400.0,44878.6,5782.2,61.4,14833476.0,301.76
98104.0,47.6041,-122.33958,1.0,32494.0,29793.0,3384.300049,55.4,10394330.0,377.27
98104.0,47.60271,-122.33557,1.0,33000.0,7000.0,4834.6,98.0,1380293.625,44.22
98134.0,47.59486,-122.32455,1.0,159372.0,44132.0,8949.0,72.0,3785282.5,26.39
98121.0,47.61757,-122.35122,0.0,100734.0,56318.2,10310.8,20.0,9788717.0,68.24
98121.0,47.61703,-122.35012,1.0,62108.0,17570.0,6876.6,57.0,5007401.0,68.19
98121.0,47.61619,-122.34599,1.0,173786.0,29865.0,25373.0,39.0,18661606.0,149.27
98101.0,47.61217,-122.33694,1.0,383942.0,127192.0,8478.6,74.0,24755086.0,172.58
98101.0,47.61229,-122.33629,1.0,361107.0,332343.0,62884.0,93.0,40062888.0,398.19
98191.0,47.61316,-122.3343,1.0,622034.0,132465.0,33110.0,89.0,40847752.0,313.3
98101.0,47.61399,-122.33523,1.0,542461.0,219045.0,9337.0,90.0,30985420.0,359.11
98101.0,47.61356,-122.33665,1.0,45260.0,6187.0,7283.6,90.0,3444270.0,170.51
98101.0,47.61375,-122.33566,1.0,142034.0,17070.0,14666.0,91.0,7739699.0,100.26
98101.0,47.61256,-122.33808,1.0,51557.0,9976.0,11315.8,61.0,3757006.0,26.19
98101.0,47.61391,-122.33725,1.0,226454.0,29214.0,11842.4,90.0,14633233.0,563.25
98121.0,47.61578,-122.33726,1.0,582725.0,191082.0,69060.2,95.0,27018020.0,229.25
98121.0,47.61641,-122.34112,1.0,161000.0,51250.0,10365.6,91.0,8580279.0,222.19
98101.0,47.61555,-122.33582,1.0,743562.0,161119.0,44776.6,97.0,39523852.0,275.54
98101.0,47.61516,-122.33303,1.0,311736.0,123356.0,18239.0,94.0,17867002.0,130.73
98104.0,47.60266,-122.33332,1.0,64712.0,10058.0,7030.0,85.0,3903259.75,51.67
98104.0,47.60219,-122.33347,1.0,82355.0,7000.0,5827.8,66.0,4178233.5,31.97
98104.0,47.6036,-122.33288,1.0,388934.0,76926.0,8412.4,89.0,18576900.0,213.23
98104.0,47.60403,-122.33497,1.0,348969.0,3291.899902,1437.0,98.0,10062436.0,70.15
98104.0,47.6037,-122.33447,1.0,236827.0,83311.0,14679.0,69.0,24906132.0,940.47
98104.0,47.60505,-122.33427,1.0,1011135.0,272682.0,37595.0,94.0,44683660.0,318.97
98104.0,47.60567,-122.33511,1.0,470416.0,107667.0,10290.0,84.0,24603420.0,171.52
98104.0,47.60542,-122.33588,1.0,89699.0,1392.0,5033.8,59.4,1835804.875,46.56
98101.0,47.60581,-122.33664,1.0,84838.0,15401.0,12311.0,81.0,3743228.5,26.1
98101.0,47.60614,-122.33674,1.0,522667.0,194435.0,6122.0,95.0,18221224.0,139.72
98101.0,47.60642,-122.33581,1.0,99890.0,39336.0,25000.0,79.6,41399504.0,362.66
98101.0,47.60655,-122.33533,1.0,606050.0,154947.0,16764.0,81.0,32552428.0,231.32
98101.0,47.60671,-122.33456,1.0,182540.0,33671.0,240.0,95.0,9641043.0,218.53
98154.0,47.60615,-122.33388,1.0,808980.0,232248.0,30329.0,89.0,45163308.0,627.87
98104.0,47.60549,-122.33319,1.0,765351.0,185581.0,103478.0,93.0,41213584.0,287.32
98164.0,47.60616,-122.33165,1.0,581558.0,189600.0,18026.0,28.0,69519808.0,546.65
98104.0,47.60471,-122.33261,1.0,161762.0,29094.0,10624.0,91.0,8921778.0,175.95
98104.0,47.60501,-122.32988,1.0,1191115.0,159599.0,18656.0,89.0,61576184.0,429.27
98104.0,47.60421,-122.32919,1.0,269284.0,28394.0,600.0,45.8,21169502.0,380.37
98104.0,47.60377,-122.32971,1.0,160418.0,18590.0,17480.0,69.0,13214416.0,298.61
98104.0,47.60249,-122.32854,1.0,319539.0,52703.0,17030.2,98.0,13843866.0,216.24
98104.0,47.60193,-122.32812,1.0,96582.0,22268.0,13703.8,99.0,2746560.75,70.17
98105.0,47.66024,-122.31278,1.0,89200.0,25620.6,1875.0,83.0,6461937.0,89.47
98195.0,47.66072,-122.31466,1.0,474546.0,84236.4,45500.8,77.0,28450436.0,198.34
98185.0,47.6606,-122.31512,1.0,36000.0,107497.4,51516.2,96.0,30038490.0,209.41
98105.0,47.661,-122.31626,0.0,79555.0,28329.8,3157.2,70.0,4728488.5,119.03
98105.0,47.66065,-122.31689,1.0,95943.0,42500.0,10580.6,88.0,4426136.0,30.86
98105.0,47.65999,-122.31741,1.0,145754.0,90000.0,8661.0,93.0,7046345.5,49.12
