ZipCode,Latitude,Longitude,NumberofBuildings,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
98118.0,47.51482,-122.25864,1.0,78804.0,10727.2,3494.2,92.0,31.70000076,2499140.0,2677620.75,0.0,853926.0,56.82,0.72
98122.0,47.61224,-122.29087,1.0,66994.0,15142.2,8669.8,79.0,35.40000153,2371304.5,2579774.5,0.0,546459.0,41.74,0.62
98118.0,47.52915,-122.28904,1.0,98357.0,9158.6,5927.2,88.0,35.09999847,3456131.5,3783580.25,0.0,1529064.0,94.64,0.96
98118.0,47.53827,-122.28406,1.0,25765.0,25000.0,4067.0,46.8,83.80000305,4253369.5,4503671.5,0.0,684032.0,61.21,1.12
98118.0,47.53722,-122.284,1.0,46483.0,37938.0,4579.0,85.2,21.89999962,1950092.5,2220796.5,0.0,1882631.0,100.46,1.12
98119.0,47.65147,-122.36122,1.0,52611.0,21581.2,11518.6,43.0,78.30000305,4116871.5,4390158.0,0.0,1637598.0,104.26,1.98
98119.0,47.65068,-122.36331,1.0,135520.0,12340.2,10761.2,89.0,32.79999924,4448582.5,4800620.5,0.0,2132284.0,129.39,0.93
98125.0,47.70763,-122.29453,1.0,238550.0,0.0,16650.0,96.0,35.0,8355988.5,9287467.0,0.0,3566039.0,222.78,0.94
98122.0,47.60462,-122.31549,3.0,137565.0,78357.0,19675.8,75.6,60.5,13071700.0,14196194.0,4336524.5,580172.0,422.39,1.68
98117.0,47.68725,-122.35996,1.0,62526.0,13276.0,4565.2,96.0,31.79999924,1986094.875,2192411.0,0.0,871706.0,54.07,0.86
98101.0,47.61598,-122.33448,1.0,250000.0,141057.8,74153.8,53.6,261.2999878,65336980.0,66000296.0,0.0,34685331.0,2055.82,6.87
98108.0,47.536,-122.31768,1.0,30000.0,15000.0,9015.0,21.0,60.0,3242077.75,3375016.25,0.0,584696.0,49.58,0.77
98125.0,47.70759,-122.3255,1.0,505103.0,24936.0,75086.0,98.0,52.29999924,27717034.0,28763498.0,0.0,11492503.0,723.47,1.36
98125.0,47.7066,-122.321,1.0,47012.0,14039.4,8315.4,70.0,154.5,7265178.0,7668810.0,0.0,3920350.0,231.53,4.27
98125.0,47.70619,-122.32586,1.0,122000.0,50510.959376,13058.6,76.0,71.90000153,8765978.0,8729918.0,0.0,112356.0,66.3,0.53
98105.0,47.66231,-122.28146,6.0,879000.0,238440.2,66041.8,10.0,288.7999878,253832464.0,257764208.0,0.0,138191238.0,8145.52,9.27
98133.0,47.70956,-122.3345,1.0,28636.0,15385.0,8644.0,72.0,85.59999847,3191228.25,3313397.0,0.0,1331883.0,83.7,1.51
98117.0,47.67661,-122.37489,1.0,242795.0,37791.0,18730.8,80.0,37.70000076,9157150.0,9708318.0,0.0,1297685.0,123.71,0.51
98122.0,47.61233,-122.3171,1.0,85521.0,7375.2,3465.8,65.2,16.20000076,1381590.125,1617801.25,0.0,898955.0,51.11,0.6
98103.0,47.69936,-122.33401,11.0,667335.0,202135.0,15887.8,65.8,53.79999924,35891484.0,37410800.0,0.0,2440648.0,362.82,0.52
98118.0,47.54632,-122.28198,1.0,173185.0,4301.0,4268.0,79.0,35.40000153,6127771.5,7034167.5,0.0,4327044.0,242.36,1.4
98106.0,47.54862,-122.36214,1.0,139069.0,6404.8,2537.4,75.0,39.5,5499097.0,6337972.0,0.0,3634130.0,206.01,1.42
98108.0,47.55152,-122.31869,1.0,114297.0,13502.0,3496.8,61.0,18.39999962,2100097.75,2415462.5,0.0,1187623.0,69.44,0.61
98118.0,47.52407,-122.26586,1.0,184125.0,20714.2,4233.6,86.0,47.79999924,8800292.0,10067991.0,0.0,5800430.0,328.97,1.79
98134.0,47.55901,-122.33328,1.0,234144.0,5827.0,2835.4,87.0,28.79999924,6744317.0,7874958.5,0.0,5427500.0,297.43,1.27
98126.0,47.52254,-122.36627,1.0,65425.0,6997.8,14229.4,72.0,45.0,2944296.25,3016373.5,0.0,330609.0,35.78,0.55
98126.0,47.52254,-122.36627,1.0,67782.0,22672.8,3778.6600097999994,37.0,136.1999969,9230223.0,9589728.0,0.0,6606121.0,369.14,5.45
98126.0,47.52915,-122.36511,1.0,367884.0,50829.6,11942.440039,97.0,33.29999924,12265516.0,13279344.0,0.0,4060496.0,272.85,0.74
98126.0,47.51778,-122.37074,1.0,46797.0,13232.0,4541.0,86.0,44.40000153,2075891.0,2380144.5,0.0,1278687.0,73.47,1.57
